Item,Time,Distance(mi),Speed(mph),Pace(min/mi),HeartRate(bpm),Latitude,Longitude,Altiutde(ft)
0,0:00:00,0,0, ----,0,200,200,0
1,0:00:04,0,0, ----,0,200,200,0
2,0:00:08,0,0, ----,0,200,200,0
3,0:00:12,0,0, ----,0,200,200,0
4,0:00:16,0,0, ----,0,200,200,0
5,0:00:20,0,0, ----,0,200,200,0
6,0:00:24,0,0, ----,0,200,200,0
7,0:00:28,0,0, ----,0,200,200,0
8,0:00:32,0,0, ----,0,200,200,0
9,0:00:36,0,0, ----,0,200,200,0
10,0:00:40,0,0, ----,0,200,200,0
11,0:00:44,0,0, ----,0,200,200,0
12,0:00:48,0,0, ----,0,200,200,0
13,0:00:52,0,0, ----,0,200,200,0
14,0:00:56,0,0, ----,0,200,200,0
15,0:01:00,0,0, ----,0,200,200,0
16,0:01:04,0,0, ----,0,200,200,0
17,0:01:08,0,0, ----,0,200,200,0
18,0:01:12,0,0, ----,0,200,200,0
19,0:01:16,0,0, ----,0,200,200,0
20,0:01:20,0,0, ----,0,200,200,0
21,0:01:24,0,0, ----,0,200,200,0
22,0:01:28,0,0, ----,0,200,200,0
23,0:01:32,0,0, ----,0,200,200,0
24,0:01:36,0,0, ----,0,200,200,0
25,0:01:40,0,0.2, 99:59,105,200,200,0
26,0:01:44,0,0.5, 99:59,105,200,200,0
27,0:01:48,0,0.7, 85:27,105,200,200,0
28,0:01:52,0,0.9, 63:56,105,200,200,0
29,0:01:56,0,1.2, 51:55,99,200,200,0
30,0:02:00,0,1.4, 43:41,99,200,200,0
31,0:02:04,0,1.6, 37:43,99,200,200,0
32,0:02:08,0,1.8, 33:11,99,200,200,0
33,0:02:12,0,1.7, 34:22,96,200,200,0
34,0:02:16,0,1.7, 35:30,96,200,200,0
35,0:02:20,0,1.6, 36:51,96,200,200,0
36,0:02:24,0,1.6, 38:10,96,200,200,0
37,0:02:28,0,1.5, 39:05,94,200,200,0
38,0:02:32,0,1.5, 40:04,94,200,200,0
39,0:02:36,0,1.5, 41:16,94,200,200,0
40,0:02:40,0,1.4, 42:21,94,200,200,0
41,0:02:44,0,1.5, 38:56,94,200,200,0
42,0:02:48,0,1.7, 36:10,94,200,200,0
43,0:02:52,0,1.8, 33:38,94,200,200,0
44,0:02:56,0,1.9, 31:27,94,200,200,0
45,0:03:00,0,2, 30:28,95,200,200,0
46,0:03:04,0,2, 29:26,95,200,200,0
47,0:03:08,0,2.1, 28:29,95,200,200,0
48,0:03:12,0,2.2, 27:35,95,200,200,0
49,0:03:16,0,2.2, 27:26,96,200,200,0
50,0:03:20,0,2.2, 27:16,96,200,200,0
51,0:03:24,0,2.2, 27:12,96,200,200,0
52,0:03:28,0,2.2, 27:02,96,200,200,0
53,0:03:32,0,2.3, 25:44,90,200,200,0
54,0:03:36,0,2.4, 24:30,90,200,200,0
55,0:03:40,0,2.6, 23:26,90,200,200,0
56,0:03:44,0,2.7, 22:27,90,200,200,0
57,0:03:48,0,2.7, 21:59,87,200,200,0
58,0:03:52,0,2.8, 21:33,87,200,200,0
59,0:03:56,0,2.8, 21:10,87,200,200,0
60,0:04:00,0,2.9, 20:46,87,200,200,0
61,0:04:04,0,2.9, 20:46,87,200,200,0
62,0:04:08,0,2.9, 20:46,87,200,200,0
63,0:04:12,0,2.9, 20:46,87,200,200,0
64,0:04:16,0,2.9, 20:46,87,200,200,0
65,0:04:20,0,2.9, 20:46,91,200,200,0
66,0:04:24,0,2.9, 20:49,91,200,200,0
67,0:04:28,0,2.9, 20:49,91,200,200,0
68,0:04:32,0,2.9, 20:49,91,200,200,0
69,0:04:36,0,2.5, 23:47,91,200,200,0
70,0:04:40,0,2.2, 27:44,91,200,200,0
71,0:04:44,0,1.8, 33:17,91,200,200,0
72,0:04:48,0,1.4, 41:26,91,200,200,0
73,0:04:52,0,1.1, 55:29,93,200,200,0
74,0:04:56,0,0.7, 83:14,93,200,200,0
75,0:05:00,0,0.4, 99:59,93,200,200,0
76,0:05:04,0,0, ----,93,200,200,0
77,0:05:08,0,0, ----,90,200,200,0
78,0:05:12,0,0, ----,90,200,200,0
79,0:05:16,0,0, ----,90,200,200,0
80,0:05:20,0,0, ----,90,200,200,0
81,0:05:24,0,0, ----,86,200,200,0
82,0:05:28,0,0, ----,86,200,200,0
83,0:05:32,0,0, ----,86,200,200,0
84,0:05:36,0,0, ----,86,200,200,0
85,0:05:40,0,0, ----,85,200,200,0
86,0:05:44,0,0, ----,85,200,200,0
87,0:05:48,0,0, ----,85,200,200,0
88,0:05:52,0,0, ----,85,200,200,0
89,0:05:56,0,0, ----,80,200,200,0
90,0:06:00,0,0, ----,80,200,200,0
91,0:06:04,0,0, ----,80,200,200,0
92,0:06:08,0,0, ----,80,200,200,0
93,0:06:12,0,0, ----,84,200,200,0
94,0:06:16,0,0, ----,84,200,200,0
95,0:06:20,0,0, ----,84,200,200,0
96,0:06:24,0,0, ----,84,200,200,0
97,0:06:28,0,0, ----,79,200,200,0
98,0:06:32,0,0, ----,79,200,200,0
99,0:06:36,0,0, ----,79,200,200,0
100,0:06:40,0,0, ----,79,200,200,0
101,0:06:44,0,0, ----,75,200,200,0
102,0:06:48,0,0, ----,75,200,200,0
103,0:06:52,0,0, ----,75,200,200,0
104,0:06:56,0,0, ----,75,200,200,0
105,0:07:00,0,0, ----,73,200,200,0
106,0:07:04,0,0, ----,73,200,200,0
107,0:07:08,0,0, ----,73,200,200,0
108,0:07:12,0,0, ----,73,200,200,0
109,0:07:16,0,0, ----,75,200,200,0
110,0:07:20,0,0, ----,75,200,200,0
111,0:07:24,0,0, ----,75,200,200,0
112,0:07:28,0,0, ----,75,200,200,0
113,0:07:32,0,0.4, 99:59,82,200,200,0
114,0:07:36,0,0.7, 80:28,82,200,200,0
115,0:07:40,0,1.1, 53:56,82,200,200,0
116,0:07:44,0,1.5, 40:24,82,200,200,0
117,0:07:48,0,1.8, 33:11,82,200,200,0
118,0:07:52,0,2.1, 28:04,82,200,200,0
119,0:07:56,0,2.5, 24:23,82,200,200,0
120,0:08:00,0,2.8, 21:33,82,200,200,0
121,0:08:04,0,2.8, 21:33,81,200,200,0
122,0:08:08,0,2.8, 21:30,81,200,200,0
123,0:08:12,0,2.8, 21:27,81,200,200,0
124,0:08:16,0,2.8, 21:27,81,200,200,0
125,0:08:20,0,2.9, 20:59,81,200,200,0
126,0:08:24,0,2.9, 20:30,81,200,200,0
127,0:08:28,0,3, 20:04,81,200,200,0
128,0:08:32,0,3.1, 19:40,81,200,200,0
129,0:08:36,0,3, 19:47,80,200,200,0
130,0:08:40,0,3, 19:57,80,200,200,0
131,0:08:44,0,3, 20:04,80,200,200,0
